guide_ra,guide_dec,phot_g_mean_mag,cmos_id
10.9061525,40.0077922,14.562,4
10.9574058,39.9724417,14.681,4
10.9313244,39.8993039,14.781,4
10.9204789,39.9782786,14.784,4
10.9486738,40.0105439,14.792,4
10.8507211,39.9475761,14.807,4
10.8689356,39.8993506,14.987,4
11.9882402,41.1112258,12.218,5
12.1509528,41.2228203,12.25,5
12.065098,41.2087717,12.923,5
12.1783572,41.1614097,13.479,5
12.0710593,41.1026031,13.545,5
12.1480247,41.1843789,13.58,5
12.1163139,41.2315989,13.817,5
12.1259344,41.1759858,14.097,5
11.9898179,41.1196042,14.253,5
12.0695242,41.0875947,14.271,5
12.0579308,41.1872697,14.324,5
12.1837525,41.1229061,14.596,5
12.0309081,41.0775839,14.648,5
11.9935344,41.0826736,14.663,5
12.1630256,41.1263522,14.707,5
12.0538833,41.08943,14.88,5
12.1050017,41.1152303,14.883,5
12.2134086,41.1536744,14.52,5
12.2255501,41.1301469,14.21,5
12.0009153,41.0492317,12.359,5
12.0147949,41.0345211,13.501,5
12.2576731,41.0542333,11.801,6
12.2682408,41.0674178,12.355,6
12.2718529,40.978895,12.578,6
12.2542419,41.0533981,13.857,6
12.2166444,41.05471,14.51,6
12.2612817,40.9742933,14.886,6
12.2282439,41.0789736,14.893,6
12.0689048,40.9490617,10.964,6
12.2020811,41.0397431,11.334,6
12.0657389,40.9800447,11.838,6
12.1204808,40.9471344,12.262,6
12.187465,40.990275,13.261,6
12.0739672,41.0113233,13.504,6
12.1692894,41.0261617,13.626,6
12.1478086,40.9531267,13.959,6
12.0766125,41.0114019,14.137,6
12.1196939,40.9801083,14.772,6
12.148297,41.0248489,14.868,6
12.3125217,40.9516411,11.5,7
12.3340003,40.9025928,13.415,7
12.3035281,40.8986825,13.965,7
12.3428389,40.9191139,14.001,7
12.3092932,40.9102492,14.14,7
12.3269368,40.8726189,14.231,7
12.3910019,40.8838581,14.605,7
12.3403667,40.9337525,14.865,7
12.3434203,40.9143389,14.943,7
12.2349133,40.8970225,10.553,7
12.1943225,40.8684331,11.565,7
12.1257958,40.8816622,12.145,7
12.2884436,40.8221917,13.557,7
12.1717125,40.7943586,13.84,7
12.2499992,40.8544081,14.114,7
12.2226633,40.8815711,14.12,7
12.2472572,40.8546431,14.603,7
12.2411575,40.9304883,14.733,7
12.2477431,40.6798436,12.593,8
12.2953728,40.6481494,14.195,8
12.2482502,40.6955883,14.613,8
12.2866125,40.6835089,14.685,8
12.4090333,40.8382036,9.073,8
12.3506694,40.8143219,13.251,8
12.2789867,40.7846033,11.738,8
12.2733051,40.775825,13.729,8
12.3646733,40.6782989,11.416,8
12.3352631,40.7850686,12.884,8
12.3463247,40.7214058,13.084,8
12.4168333,40.7868758,13.152,8
12.3726244,40.7827425,13.155,8
12.36724,40.7488264,13.292,8
12.3367141,40.7036017,13.394,8
12.4468781,40.7496736,13.397,8
12.4395303,40.7799725,13.479,8
12.3620769,40.7535244,13.598,8
12.3735061,40.7134753,13.938,8
12.3833236,40.7682889,13.958,8
12.3983169,40.746705,14.031,8
12.4483453,40.7205303,14.045,8
12.3894936,40.7733653,14.063,8
12.463939,40.7467975,14.269,8
12.43167,40.7356639,14.326,8
12.3900869,40.7153439,14.444,8
12.4589403,40.7413792,14.73,8
12.3614,40.7334294,14.775,8
12.4494878,40.7981139,14.832,8
5.18999,38.8613525,13.406,1
5.1346636,38.8766306,14.062,1
5.0811428,38.7997806,14.302,1
5.0452408,38.8460631,14.562,1
5.1874969,38.8833981,14.689,1
5.0436425,38.9296169,12.159,1
5.2111856,38.9813881,12.733,1
5.1199948,38.8881431,13.213,1
5.0370642,38.9340858,13.463,1
5.1813253,38.9434644,13.636,1
5.1366092,38.9736344,13.739,1
5.1300628,38.9715114,13.964,1
5.0202982,38.8917214,14.089,1
5.0865539,38.8831775,14.961,1
5.3131847,38.7605786,9.764,2
5.2552094,38.7739811,10.599,2
5.2446442,38.6934739,11.259,2
5.1874528,38.6658678,11.616,2
5.3524607,38.7354697,11.831,2
5.2797596,38.7685842,12.491,2
5.3771108,38.7435072,12.597,2
5.1643507,38.7343364,12.716,2
5.2682533,38.7631469,12.793,2
5.2503506,38.8119225,13.686,2
5.1051131,38.7811211,13.689,2
5.2063844,38.7553864,13.715,2
5.3061278,38.8341581,13.877,2
5.1993953,38.6873247,14.05,2
5.2259974,38.8024497,14.207,2
5.2439208,38.8105125,14.218,2
5.1801208,38.7180244,14.244,2
5.3387047,38.7292208,14.257,2
5.2524368,38.8134928,14.301,2
5.2341553,38.7317692,14.753,2
5.1401783,38.8067131,14.887,2
5.1706697,38.7860314,14.935,2
5.3174053,38.7010178,11.923,3
5.3202503,38.6344172,12.605,3
5.2578599,38.6144575,12.862,3
