guide_ra,guide_dec,phot_g_mean_mag,cmos_id
11.9433428,42.5661508,14.748,1
12.0265492,42.6179647,10.407,1
12.0538125,42.5758003,11.852,1
12.0289075,42.5904678,13.441,1
11.9918469,42.6033436,14.434,1
12.0124592,42.5724192,14.935,1
12.0150925,42.6399058,14.996,1
12.1276594,42.7496719,10.905,2
12.0722167,42.6928553,11.197,2
12.1389967,42.7723611,13.601,2
12.1886578,42.7307517,14.57,2
12.0392278,42.714155,14.77,2
12.1293408,42.6906625,14.89,2
12.2373689,42.6693436,14.386,2
12.2516392,42.6522297,14.482,2
12.2528589,42.6533061,14.982,2
12.1889714,42.6192569,11.616,2
12.0780389,42.6550025,12.869,2
12.1378728,42.6198419,13.033,2
12.1576051,42.6551475,13.301,2
12.2025322,42.6926072,13.35,2
12.1666735,42.6405725,13.647,2
12.1083019,42.614655,13.911,2
12.0845436,42.6839422,14.613,2
12.1109256,42.6587203,14.744,2
12.1118375,42.6775314,14.765,2
12.2312344,42.6492286,14.966,2
12.1259208,42.6889883,14.996,2
13.4216006,42.2518147,14.662,3
13.4421831,42.1348697,10.681,3
13.4355636,42.1266878,12.066,3
13.4959419,42.11171,13.25,3
13.4988617,42.1033594,14.0,3
13.4622164,42.0837808,14.427,3
13.4792106,42.0878286,14.472,3
13.4554133,42.0769006,14.577,3
13.4739494,42.1728208,14.623,3
13.4156528,42.1060344,14.787,3
13.4263961,42.1899569,14.977,3
13.3197314,42.1674272,14.546,3
13.3430353,42.1811428,14.75,3
13.3290669,42.2145064,14.887,3
13.3949414,42.0524614,13.128,3
13.4652947,42.2603056,12.618,4
13.5289145,42.2895153,13.784,4
13.5201131,42.2282631,13.79,4
13.5682156,42.2832875,13.816,4
13.4776469,42.2529761,13.832,4
13.5759972,42.1551997,12.903,4
13.5931094,42.1633175,14.242,4
13.6160978,42.2250261,13.227,4
13.5963581,42.2296778,13.724,4
13.6283386,42.2419469,14.856,4
8.1308525,42.9012133,10.45,1
8.1414614,42.96217,14.361,1
8.1472753,42.9181297,14.437,1
8.1605078,42.9237142,14.446,1
8.2101074,42.8828083,12.593,1
8.2261775,42.8487386,14.194,1
8.2012647,42.8991122,14.222,1
8.2019958,42.9156572,14.222,1
8.1839921,42.9403058,14.425,1
8.1702228,42.9009119,14.584,1
8.1667672,42.9111125,14.655,1
8.1860608,42.837935,13.338,1
8.1046294,42.84858,14.148,1
8.0940453,42.8415061,14.379,1
8.11422,42.8211706,14.538,1
8.1779031,42.8277778,14.905,1
8.3059661,42.9986625,13.461,2
8.3093452,43.0359375,13.527,2
8.2779717,43.0258786,14.856,2
8.2988656,42.9994106,14.903,2
8.3431547,42.8975092,11.861,2
8.3529608,42.9288433,12.595,2
8.3597661,42.8978533,13.818,2
8.2767744,42.91463,14.173,2
8.2776803,42.9225472,14.395,2
8.2646617,42.9384928,14.903,2
9.5544164,42.5071989,10.393,3
9.4924314,42.48771,12.182,3
9.4913342,42.506965,14.651,3
9.6336247,42.5198578,14.845,3
9.5766164,42.4214406,11.665,3
9.5822072,42.4116417,14.271,3
9.5315619,42.4368656,14.312,3
9.5557427,42.4388997,14.709,3
9.6121328,42.3871739,10.637,3
9.5731409,42.4631156,10.7,3
9.6507422,42.3954903,11.117,3
9.643985,42.4732561,13.053,3
9.6061707,42.4670553,13.3,3
9.6522944,42.3862817,13.313,3
9.5669819,42.4677392,13.579,3
9.5861297,42.4746358,13.637,3
9.5653225,42.4627158,13.77,3
9.6407161,42.4958319,14.776,3
9.576405,42.4713839,14.831,3
9.6669886,42.4842428,14.984,3
9.8337381,42.5359961,12.423,4
9.7908472,42.5531106,13.714,4
9.7943722,42.5438119,14.017,4
9.8673182,42.4832867,14.731,4
9.8199581,42.5087261,14.824,4
9.8278922,42.5412306,14.824,4
9.767343,42.60833,12.206,4
9.7129579,42.5706411,12.52,4
9.6599311,42.5518083,13.77,4
9.6912333,42.5342314,14.47,4
9.7518364,42.5917728,14.732,4
9.7292773,42.5963181,14.821,4
9.6790355,42.5420467,14.882,4
9.7479453,42.5042267,12.315,4
9.8247744,42.4512547,13.093,4
9.7074708,42.5252092,13.453,4
9.72493,42.4936228,13.943,4
9.7895447,42.5193717,14.122,4
9.7496167,42.4682917,14.308,4
9.7420406,42.52243,14.474,4
9.7711803,42.46947,14.991,4
